日付,平均現地気圧(hPa),平均海面気圧(hPa),降水量合計(mm),降水量最大1時間(mm),降水量最大10分間(mm),平均気温(C),最高気温(C),最低気温(C),平均湿度(%),最小湿度(%),平均風速(m/s),最大風速(m/s),最大風向(m/s),最大瞬間風速(m/s),最大瞬間風向(m/s),日照時間(h),降雪合計(cm),最深深雪,天気概況・昼(6-18),天気概況・夜(18-翌6)
2018-01-01,1010,1020.2, 0.0, 0.0, 0.0,7.2,10.6,4.4,48,37,2.1,4.3, 西北西,8.2, 西北西,5.5, NA, NA, 晴, 晴時々曇
2018-01-02,1011.8,1022, NA, NA, NA,7.1,10.3,2.7,52,38,2.6,6.1, 西南西,12, 西南西,7.1, NA, NA, 晴, 晴後曇時々雨
2018-01-03,1011.5,1021.8, 0.0, 0.0, 0.0,4.9,7.3,2.2,64,50,2.9,6.4, 西南西,11.2, 西南西,5.9, NA, NA, 晴時々曇一時雪、みぞれを伴う, 快晴
2018-01-04,1012.3,1022.7, 0.0, 0.0, 0.0,4,8,0,67,49,1.4,3.1, 北北西,7.2, 北,4.5, NA, NA, 曇時々晴, 晴後曇
2018-01-05,1007.2,1017.5, 1.0, 0.5, 0.5,3.6,4.5,2.7,83,75,1.3,3.3, 南,4.8, 南,0.2, NA, NA, 雨時々曇、みぞれを伴う, 曇一時晴
2018-01-06,1006.1,1016.3, 0.0, 0.0, 0.0,5.6,10,2.6,72,49,1.8,5.1, 北北西,8.9, 北西,2.4, NA, NA, 曇一時晴, 晴後一時曇
2018-01-07,1012.5,1022.8, NA, NA, NA,5.8,9.1,1.8,63,45,1.5,3.4, 北東,5.3, 北東,5.1, NA, NA, 曇, 曇後一時雨
2018-01-08,1001.5,1011.6, 16.0, 3.0, 1.0,6.9,9.4,4.4,85,61,2.8,5.8, 北北東,9.6, 北東,0, NA, NA, 雨時々曇, 雨後一時曇
2018-01-09,996.6,1006.7, 3.5, 3.0, 1.0,8,10.4,4.5,60,39,4.2,8.1, 西南西,16.4, 西,5.1, NA, NA, 晴時々曇, 晴
2018-01-10,1002.7,1012.9, 0.0, 0.0, 0.0,5.1,7,3.3,67,54,2.8,5.7, 西北西,11.5, 西,0.1, NA, NA, 晴後曇時々雨, 晴時々曇
2018-01-11,1009.1,1019.4, NA, NA, NA,2.6,5.1,0.9,45,33,3.6,5.6, 西南西,11.8, 西,7.4, NA, NA, 晴, 晴
2018-01-12,1013.4,1023.9, NA, NA, NA,2.4,5.5,0.2,47,32,3.2,5.8, 西南西,10.2, 西,9.4, NA, NA, 晴, 快晴
2018-01-13,1016.5,1026.9, NA, NA, NA,3.4,6.5,0.4,53,42,3,6.2, 西南西,11.4, 西南西,9.3, NA, NA, 晴, 晴
2018-01-14,1020.4,1030.9, NA, NA, NA,3.1,6.5,0.3,65,46,1.3,3.2, 北東,5.5, 東北東,3.5, NA, NA, 曇時々晴, 晴
2018-01-15,1016.5,1026.9, NA, NA, NA,5.2,10.6,-0.5,71,48,1.5,3.1, 北,4.7, 西北西,8.7, NA, NA, 晴時々曇, 晴
2018-01-16,1011.1,1021.2, 0.0, 0.0, 0.0,8.7,14.9,2.9,71,47,1.3,2.9, 北,4.4, 北北東,6.1, NA, NA, 晴一時曇, 晴時々曇後雨
2018-01-17,1002.6,1012.6, 24.0, 4.0, 1.0,10.8,13.4,8.5,91,71,2.1,5.3, 北北西,10.1, 西,0.2, NA, NA, 雨後一時曇, 曇後時々晴
2018-01-18,1008.7,1018.8, NA, NA, NA,10.5,13.4,7.5,73,54,2.1,4.7, 西南西,8.4, 西南西,6.2, NA, NA, 晴一時曇, 晴後時々曇
2018-01-19,1010.2,1020.3, NA, NA, NA,8.6,12,5.3,61,42,2,4.3, 北北東,6.9, 北北東,6.6, NA, NA, 晴時々曇, 晴一時曇
2018-01-20,1009.3,1019.5, NA, NA, NA,7.5,11.5,3.5,65,52,1.7,4.7, 北,7.6, 北北東,8, NA, NA, 晴一時薄曇, 晴一時薄曇
2018-01-21,1010.1,1020.3, 0.0, 0.0, 0.0,7.1,11.1,2.8,66,46,1.8,4.6, 南南西,8, 北,7.1, NA, NA, 晴時々薄曇, 薄曇
2018-01-22,1004.8,1015.1, 7.0, 2.5, 0.5,4,6.1,2.1,80,59,2.2,4.5, 北東,8.2, 北東,0, NA, NA, 曇後雨時々みぞれ, 曇一時雨
2018-01-23,1002.7,1012.9, 0.0, 0.0, 0.0,5.8,10.9,1.7,58,31,3.5,7.1, 西南西,15.1, 西北西,6.5, NA, NA, 晴時々曇一時雨, 晴一時曇
2018-01-24,1005.7,1016.1, NA, NA, NA,0.9,4.1,-2.3,42,29,4.6,8.1, 西南西,17.1, 西北西,9.4, NA, NA, 晴, 晴
2018-01-25,1007.2,1017.6, 0.0, 0.0, 0.0,0.8,4.4,-2.5,55,43,2.6,4.9, 北北西,9.4, 西,8.6, NA, NA, 晴時々曇後一時雪, 晴後一時曇
2018-01-26,1005.1,1015.5, 0.0, 0.0, 0.0,1.6,5.4,-0.5,62,41,3.1,5.1, 北,10.2, 西南西,4.6, NA, NA, 晴時々雪, 晴一時雪
2018-01-27,1012.2,1022.6, 0.0, 0.0, 0.0,1.9,5.8,-0.9,61,45,2.1,4.6, 北,9.4, 北西,8.9, NA, NA, 晴一時雪, 晴後時々薄曇
2018-01-28,1008.1,1018.5, 0.0, 0.0, 0.0,2,4.4,-1,74,53,1.1,2.8, 北,4.5, 北,0.5, NA, NA, 曇後時々雪, 曇一時雨後晴
2018-01-29,1003.8,1014, 0.0, 0.0, 0.0,4.6,8.7,1.1,55,32,3,6.3, 西南西,12.6, 南西,8.2, NA, NA, 晴時々薄曇, 晴
2018-01-30,1010.4,1020.8, NA, NA, NA,3.1,6.3,-1,50,39,2.6,5.5, 西南西,10.3, 南西,9.7, NA, NA, 晴, 晴一時薄曇
2018-01-31,1015.2,1025.6, NA, NA, NA,3.6,6.6,-0.4,58,42,1.8,4.9, 南西,8.7, 西,7.9, NA, NA, 薄曇時々晴, 曇一時晴
